"面番号","ブロック","列","連from","連to","面の種類","棚ID","前の面からの動き","信頼","向き","メモ"
"1","P3FA","001","1","12","表","R01","開始","1","左",""
"2","P3FA","001","13","24","裏","R01","折り返す","1","左",""
"3","P3FA","002","1","12","表","R02","振り向く","1","左",""
"4","P3FA","002","13","24","裏","R02","折り返す","1","左",""
"5","P3FA","003","1","12","表","R03","振り向く","1","左",""
"6","P3FA","003","13","24","裏","R03","折り返す","1","左",""
"7","P3FA","004","1","12","表","R04","振り向く","1","左",""
"8","P3FA","004","13","24","裏","R04","折り返す","1","左",""
"9","P3FA","005","1","12","表","R05","振り向く","1","左","この裏には棚が無い"
"10","P3FA","005","13","24","裏","R05","折り返す","1","左",""
"11","P3FA","006","1","12","片面","R06","振り向く","1","左","片面"
"12","P3FA","007","1","12","表","R07","振り向く","1","左",""
"13","P3FA","007","13","24","裏","R07","折り返す","1","左",""
"14","P3FA","008","1","12","表","R08","振り向く","1","左","B001と同じ1本の棚の表"
"15","P3FB","001","1","12","裏","R08","折り返す","1","左","A008と同じ1本の棚の裏"
"16","P3FB","002","1","12","表","R09","振り向く","1","左",""
"17","P3FB","002","13","24","裏","R09","折り返す","1","左",""
"18","P3FB","003","1","12","表","R10","振り向く","1","左",""
"19","P3FB","003","13","24","裏","R10","折り返す","1","左",""
"20","P3FB","004","1","18","片面","R11","振り向く","1","左","片面。ここで壁"
"21","P3FC","001","1","12","片面","R12","振り向く","1","左","片面(壁沿い)・B004の横"
"22","P3FC","002","1","12","表","R13","振り向く","1","左","階段を囲んで3回折れる"
"23","P3FC","002","13","21","裏","R13","階段を回る","0","左",""
"24","P3FC","002","22","35","続き","R13","階段を回る","0","左",""
"25","P3FC","003","1","8","片面","R14","階段を回る","0","左","片面・階段まわり"
"26","P3FD","001","1","7","片面","R15","階段の向こう","0","左","片面・階段をはさんで反対側"
"27","P3FD","002","1","11","片面","R16","階段を回る","0","左","片面・階段の裏側"
"28","P3FD","003","1","8","表","R17","移動","1","左","D002から少し遠い(15〜20歩)"
"29","P3FD","003","9","16","裏","R17","折り返す","1","左",""
"30","P3FD","004","1","8","表","R18","振り向く","1","左",""
"31","P3FD","004","9","16","裏","R18","折り返す","1","左",""
"32","P3FD","005","1","8","表","R19","振り向く","1","左",""
"33","P3FD","005","9","16","裏","R19","折り返す","1","左",""
"34","P3FD","006","1","9","表","R20","振り向く","1","左","大きさの違う棚が並ぶ"
"35","P3FD","006","10","22","裏","R20","折り返す","1","左",""
"36","P3FD","007","1","12","表","R21","振り向く","1","左",""
"37","P3FD","007","13","23","裏","R21","折り返す","1","左",""
"38","P3FD","008","1","11","表","R22","振り向く","1","左",""
"39","P3FD","008","12","22","裏","R22","折り返す","1","左",""
"40","P3FD","009","1","12","表","R23","振り向く","1","左","この棚にFブロックが吊り下がる"
"41","P3FD","009","13","24","裏","R23","折り返す","1","左",""
"42","P3FE","001","1","27","片面","R24","振り向く","1","左","片面・壁沿い1列・D009の横"
"43","P3FF","001","1","6","片面","R25","吊り下げ","1","左","吊り下げポケット(D009の棚)"
"44","P3FF","002","1","6","片面","R26","吊り下げ","1","左","吊り下げポケット・F001のすぐ左"
"45","P3FF","003","1","6","片面","R27","吊り下げ","1","左","吊り下げポケット・F002のすぐ左"
